delay,freq,condition,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,,,,
0.1,1000,exp,300,1,[8.08227060000354],[8.082278500005486],1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,500,2,"[8.08227060000354, 3.583281100000022]","[8.082278500005486, 3.58328769999207]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,1000,exp,400,3,"[8.08227060000354, 3.583281100000022, 3.6644037999940338]","[8.082278500005486, 3.58328769999207, 3.6644101999991108]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,600,5,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,500,6,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.4,1000,exp,200,7,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,600,9,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.7,1000,exp,400,11,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,1000,exp,100,12,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
0.1,1000,exp,200,13,"[8.08227060000354, 3.583281100000022, 3.6644037999940338, 3.398343400011072, 4.0991720000019995, 5.46091150000575, 3.2679610999912256, 2.6624255000060657, 3.798463500002981, 2.971666900004493, 4.5953249000012875, 3.087185299998964, 4.060588899999857]","[8.082278500005486, 3.58328769999207, 3.6644101999991108, 3.3983504000061657, 4.099181200013845, 5.460917699994752, 3.2679664000024786, 2.6624308000027668, 3.7984709000011208, 2.971673100008047, 4.595332700002473, 3.0871886999957496, 4.060595999995712]",1,1,2022-11-04_11h39.09.251,tutorial 7,2022.2.4,59.85328762,,,,
